"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"error/SERVER_ERROR_BUSY";"Server is busy. Try again later.";"Сервер перегружен. Повторите запрос позже.";"Der Server ist ausgelastet. Versuche es später erneut.";"Le serveur est occupé. Réessayez plus tard.";"El servidor está ocupado. Intentar de nuevo más tarde.";"サーバーが\tビジー\t状態です。\tまた\t後ほどお\t試しください。";"서버에 접속이 폭주하고 있습니다. 잠시 후 다시 시도해 주십시오.";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"Serwer jest zajęty. Spróbuj ponownie później."
"error/SERVER_ERROR_PEERS_LIMIT_REACHED";"Server is busy. Try again later.";"Сервер перегружен. Повторите запрос позже.";"Der Server ist ausgelastet. Versuche es später erneut.";"Le serveur est occupé. Réessayez plus tard.";"El servidor está ocupado. Intentar de nuevo más tarde.";"サーバーが\tビジー\t状態です。\tまた\t後ほどお\t試しください。";"서버에 접속이 폭주하고 있습니다. 잠시 후 다시 시도해 주십시오.";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"Serwer jest zajęty. Spróbuj ponownie później."
"error/SERVER_ERROR_MODE_UNAVAILABLE";"Сhosen game mode is unavailable.";"Выбранный игровой режим недоступен.";"Der ausgewählte Spielmodus ist nicht verfügbar.";"Le mode de jeu choisi n'est pas disponible.";"El modo de juego seleccionado no está disponible.";"選択された\tゲームモードは\t利用できません。";"선택한 게임 모드는 이용할 수 없습니다.";"所\t选\t模\t式\t暂\t不\t可\t用。";"所\t选\t模\t式\t暂\t不\t可\t用。";"Wybrany tryb jest niedostępny."
"error/CLIENT_ERROR_ROOM_INVITE_REJECT";"Session invite was rejected.";"Приглашение в сессию было отклонено.";"Einladung zur Spielsitzung wurde abgelehnt.";"L'invitation à la session a été rejetée.";"La invitación de la sesión fue rechazada.";"セッションへの\t招待が\t拒否されました。";"세션 초대가 거절되었습니다.";"邀\t请\t被\t拒\t绝。";"邀\t请\t被\t拒\t绝。";"Zaproszenie do sesji zostało odrzucone."
"error/HOST_ERROR_NOT_READY";"Internal host error.";"Внутренняя ошибка игрового сервера.";"Interner Sitzungsleitungs-Fehler.";"Erreur hôte interne.";"Error interno del anfitrión.";"内部\tホストエラー。";"내부 호스트 오류";"内\t部\t主\t机\t错\t误。";"内\t部\t主\t机\t错\t误。";"Błąd wewnętrzny hosta."
"error/HOST_ERROR_BAD_MISSION";"Bad mission parameters.";"Параметры миссии заданы неверно.";"Fehlerhafte Missionsparameter.";"Mauvais paramètres de mission.";"Malos parámetros de la misión.";"不正な\tミッションパラメータです。";"부적절한 임무 매개변수";"内\t部\t主\t机\t错\t误。";"任\t务\t参\t数\t错\t误。";"Złe parametry misji."
"error/HOST_ERROR_CHAR_REQ_FAILED";"Internal host error.";"Внутренняя ошибка игрового сервера.";"Interner Sitzungsleitungs-Fehler.";"Erreur hôte interne.";"Error interno del anfitrión.";"内部\tホストエラー。";"내부 호스트 오류";"内\t部\t主\t机\t错\t误。";"内\t部\t主\t机\t错\t误。";"Błąd wewnętrzny hosta."
"error/HOST_ERROR_ROOM_CREATE_FAILED";"Internal host error.";"Внутренняя ошибка игрового сервера.";"Interner Sitzungsleitungs-Fehler.";"Erreur hôte interne.";"Error interno del anfitrión.";"内部\tホストエラー。";"내부 호스트 오류";"内\t部\t错\t误。";"内\t部\t主\t机\t错\t误。";"Błąd wewnętrzny hosta."
"error/CLIENT_ERROR_CONNECTION_CLOSED";"Connection to the server was lost.";"Связь с сервером потеряна.";"Verbindung zum Server verloren.";"La connexion au serveur a été perdue.";"Se perdió la conexión con el servidor.";"サーバーとの\t接続が\t切断しました。";"서버와의 연결이 끊어졌습니다.";"服\t务\t器\t连\t接\t丢\t失。";"服\t务\t器\t连\t接\t丢\t失。";"Połączenie z serwerem zostało przerwane."
"error/CLIENT_ERROR_FAILED_TO_CONNECT";"Unable to connect to the server.";"Не удалось установить соединение с сервером.";"Kann nicht mit Server verbinden.";"Impossible de se connecter au serveur.";"No se puede conectar con el servidor.";"サーバーへの\t接続が\t出来ません。";"서버에 접속할 수 없습니다.";"无\t法\t连\t接\t服\t务\t器。";"无\t法\t连\t接\t服\t务\t器。";"Nie można połączyć się z serwerem."
"error/SERVER_ERROR_FORCE_DISCONNECT";"The server has closed the connection.";"Сервер закрыл соединение.";"Server hat die Verbindung geschlossen.";"Le serveur a fermé la connexion.";"El servidor ha cerrado la conexión.";"サーバーへの\t接続が\t終了しました。";"서버가 연결을 끊었습니다.";"服\t务\t器\t端\t关\t闭\t了\t连\t接。";"服\t务\t器\t端\t关\t闭\t了\t连\t接。";"Serwer przerwał połączenie."
"error/AUTH_WRONG_LOGIN";"Incorrect login or password";"Неправильный логин или пароль.";"Login oder Passwort fehlerhaft.";"Mot de passe ou login incorrect";"Usuario o contraseña incorrectos";"ログインもしくは\tパスワードが\t正しくありません。";"잘못된 로그인 또는 비밀번호";"账\t号\t名\t或\t密\t码\t错\t误";"账\t号\t名\t或\t密\t码\t错\t误";"Niepoprawny login lub hasło"
"error/AUTH_SERVER_NOT_AVAILABLE";"The authorization server is unavailable.";"Сервер авторизации недоступен.";"Der Autorisierungsserver ist nicht erreichbar.";"Le serveur d'autorisation est indisponible.";"El servidor de autorización no está disponible.";"サーバーの\t承認ができません。";"인증 서버를 사용할 수 없습니다.";"认\t证\t服\t务\t器\t不\t可\t用。";"认\t证\t服\t务\t器\t不\t可\t用。";"Serwer autoryzacji jest niedostępny."
"error/AUTH_FROZEN";"Your account has been frozen. Please visit support.gaijin.net";"Ваш аккаунт заморожен. Пожалуйста, обратитесь в support.gaijin.net";"Dein Konto wurde eingefroren. Bitte wende dich an: support.gaijin.net";"Votre compte a été bloqué. Merci de visiter la page support.gaijin.net";"Tu cuenta ha sido suspendida. Por favor, visita support.gaijin.net";"あなたの\tアカウントは\t凍結中です。\tsupport.gaijin.net をご\t覧ください。";"당신의 계정은 현재 이용중지되었습니다. support.gaijin.net을 방문하시기 바랍니다.";"账\t户\t已\t被\t冻\t结。\t欲\t知\t详\t情，\t请\t访\t问 support.gaijin.net";"账\t户\t已\t被\t冻\t结，\t请\t联\t系\t客\t服。";"Twoje konto zostało zawieszone. Proszę odwiedzić stronę support.gaijin.net"
"error/AUTH_NOT_LOGGED";"You are offline - sign in first.";"Вы не в сети — сначала залогиньтесь.";"Du bist offline - melde dich zuerst an.";"Vous êtes hors ligne - connectez-vous d'abord.";"Estás fuera de línea - Inicia sesión primero.";"あなたは\tオフライン\t状態です。\tまずは\tサインインしてください。";"접속이 끊어졌습니다. 먼저 로그인 해 주십시오.";"当\t前\t处\t于\t离\t线\t状\t态\t—\t—\t请\t先\t登\t录。";"当\t前\t处\t于\t离\t线\t状\t态，\t请\t先\t登\t录。";"Brak połączenia - najpierw musisz się zalogować."
"error/AUTH_RESPONSE_STATUS_IS_LOGINERROR";"Authorization error";"Ошибка авторизации";"Berechtigungsfehler";"Erreur d'autorisation";"Error de autorización";"認証\tエラー";"인증 오류";"认\t证\t错\t误";"授\t权\t错\t误";"Błąd autoryzacji"
"error/LOBBY_LOBBY_IS_ABANDONED";"Game session has finished.";"Игровая сессия завершилась.";"Spielsitzung wurde beendet.";"La session de jeu est terminée.";"La sesión de juego ha finalizado.";"ゲームセッション\t終了。";"게임 세션이 완료되었습니다.";"本\t场\t游\t戏\t已\t结\t束。";"本\t场\t游\t戏\t已\t结\t束。";"Sesja rozgrywki zakończyła się."
"error/LOBBY_TEAM_IS_FULL";"Chosen team is full.";"Выбранная команда заполнена.";"Das gewählte Team ist voll.";"L’équipe sélectionnée est pleine.";"El equipo elegido esta lleno.";"選択した\tチームは\t満室です。";"선택한 팀이 가득 찼습니다.";"该\t队\t伍\t人\t数\t已\t满。";"该\t队\t伍\t人\t数\t已\t满。";"Wybrana drużyna jest pełna."
"error/SERVER_ERROR_SQUAD_TOO_LARGE";"Your squad is too large for selected game mode.";"Размер вашего отряда слишком большой для выбранного режима.";"Dein Squad ist zu groß für den gewählten Spielmodus.";"Votre essquad est trop grande pour le mode de jeu sélectionné.";"Tu escuadrón es muy grande para el modo de juego seleccionado.";"あなたの\t分隊は\t選択した\tゲームモードに\t対して\t人数が\t多すぎます。";"이 게임 모드에서 편대가 너무 큽니다.";"小\t队\t人\t数\t太\t多，\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"兵\t团\t人\t数\t太\t多，\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"Twoja drużyna jest za duża jak na wybrany tryb gry."
"error/SERVER_ERROR_WRONG_COUNTRY";"Selected country is not available in this game mode.";"Выбранная страна недоступна для данного режима.";"Die ausgewählte Nation ist in diesem Spielmodus nicht verfügbar.";"La nation sélectionnée n'est pas disponible pour ce mode de jeu.";"El país seleccionado no está disponible en este modo de juego.";"選択した\t国はこの\tゲームモードでは\t無効です。";"선택한 국가는 이 게임 모드에서 사용할 수 없습니다.";"所\t选\t国\t家\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"所\t选\t阵\t营\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"Wybrana nacja nie jest dostępna w tym trybie gry."
"error/SERVER_ERROR_NOT_IN_CLAN";"Members of your squad must belong to one squadron.";"Члены отряда должны состоять в одном полку.";"Die Mitglieder deines Squads müssen der gleichen Kampfgruppe angehören.";"Les membres de votre équipe doivent faire parti d'un escadron.";"Los miembros de tu escuadrón deben pertenecer a un solo escuadrón.";"あなたの\t分隊の\tメンバーは、\t必ずひとつの\t部隊に\t所属していなければなりません。";"편대원들이 하나의 비행대에 가입되어 있어야 합니다.";"小\t队\t成\t员\t须\t来\t自\t同\t一\t联\t队。";"组\t队\t成\t员\t须\t来\t自\t同\t一\t联\t队。";"Członkowie twojego oddziału muszą należeć do jednego dywizjonu."
"error/SERVER_ERROR_NO_CRAFTS_TO_PLAY";"You have no vehicles available in this game mode.";"Нет техники, доступной для игры в данном режиме.";"Dir stehen für diesen Spielmodus keine Fahrzeuge zur Verfügung.";"Vous n'avez aucun véhicule disponible dans ce mode de jeu.";"No tienes vehículos disponibles en este modo de juego.";"この\tゲームモードで\t使用できる\t機体がありません。";"이 게임 모드에서 사용할 수 있는 장비가 없습니다.";"由\t于\t缺\t少\t指\t定\t载\t具，\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"由\t于\t缺\t少\t指\t定\t载\t具，\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"Nie masz dostępnych pojazdów w tym trybie."
"error/SERVER_ERROR_WRONG_TEAM";"The chosen team is not available.";"Выбранная команда недоступна для игры.";"Das ausgewählte Team ist nicht verfügbar.";"L'équipe choisie n'est pas disponible.";"El equipo elegido no está disponible.";"選択した\tチームは\t無効です。";"선택한 팀으로 활동할 수 없습니다.";"无\t法\t加\t入\t该\t队。";"无\t法\t加\t入\t该\t队。";"Wybrana drużyna nie jest dostępna."
"error/SERVER_ERROR_LOBBY_DISBALANCED";"You cannot play on this team. Please try to choose another one.";"Вы не можете играть за выбранную команду. Попробуйте выбрать другую.";"Du kannst diesem Team nicht beitreten. Bitte wähle ein anderes Team aus.";"Vous ne pouvez pas jouer dans cette équipe. Veuillez essayer d'en choisir une autre.";"No puedes jugar en este equipo. Por favor, intenta elegir otro.";"この\tチームで\tプレイすることはできません。\t別の\tチームを\t選択してください。";"이 팀으로 플레이할 수 없습니다. 다른 팀을 선택하십시오.";"无\t法\t加\t入\t该\t队。\t请\t选\t择\t另\t一\t支\t队\t伍。";"无\t法\t加\t入\t该\t队。\t请\t选\t择\t另\t一\t支\t队\t伍。";"Nie możesz zagrać w tej drużynie. Spróbuj wybrać inną."
"error/SERVER_ERROR_LOBBY_TEAM_NOT_CHOSEN";"Please choose a team to play on.";"Необходимо выбрать команду для игры.";"Bitte wähle ein Team aus, für das du spielen möchtest.";"Veuillez choisir une équipe pour jouer.";"Por favor, elige un equipo para jugar.";"プレイする\tチームを\t選択してください。";"팀을 선택하십시오.";"请\t选\t择\t一\t支\t队\t伍\t加\t入。";"请\t选\t择\t一\t支\t队\t伍\t加\t入。";"Proszę wybrać drużynę do gry."
